date,t,cp_location,cp_location_norm,cp_score
2013-04-26,854,835.1036094203819,0.8998281228389585,0.967920722402797
2013-04-29,855,835.4131535363105,0.9327069744614066,0.8056840862857697
2013-04-30,856,851.5980660524724,0.20961590226321883,0.9550773207323989
2013-05-01,857,849.3931917651073,0.3622289635663189,0.8459334468721712
2013-05-02,858,849.3233372556358,0.41317441639829494,0.8517089278005465
2013-05-03,859,848.0176070602887,0.522971092367205,0.8699645203475014
2013-05-06,860,848.0077444360141,0.571059788761231,0.9245400013158724
2013-05-07,861,848.0195279911703,0.6181177147061752,0.9643439222136493
2013-05-08,862,848.4075251867348,0.6472607053935808,0.9805398459978377
2013-05-09,863,848.2641075188396,0.7017091657695411,0.9875865177650207
2013-05-10,864,848.2705818231192,0.7490199131848007,0.9889408788390636
2013-05-13,865,847.9837160635848,0.8102992350673914,0.9956863176834996
2013-05-14,866,847.10445828613,0.8997877006604756,0.9983666622206036
2013-05-15,867,848.0181904715275,0.9038956918320222,0.9825184546111094
2013-05-16,868,859.7029596417563,0.39509715991636896,0.8492703549827271
2013-05-17,869,859.9772649708152,0.4296540490087994,0.6605082336177157
2013-05-20,870,859.9846830916904,0.47691985277664833,0.6252982511705509
2013-05-21,871,859.9827546336717,0.5246307317299203,0.6575501111515998
2013-05-22,872,863.4863528398564,0.4054117695306472,0.6606463290446216
2013-05-23,873,863.7584208234547,0.44007519888311025,0.6456519490633387
2013-05-24,874,861.7838353665447,0.5817221254026317,0.6411004629425323
2013-05-28,875,859.9829836836338,0.7150960150650549,0.6769490702588603
2013-05-29,876,859.980956048342,0.7628116167456179,0.6730126212529279
2013-05-30,877,859.9962349456413,0.8097030978266059,0.71780836193559
2013-05-31,878,877.8550983983215,0.006900076270404671,0.8535215439556618
2013-06-03,879,876.1206280873389,0.13711294822195713,0.7940019665473247
2013-06-04,880,875.8177438996102,0.19915505239951667,0.7470104196259403
2013-06-05,881,877.3143430866978,0.17550747206200867,0.9015159020160322
2013-06-06,882,877.0054375253235,0.2378363083179292,0.9125035423198288
2013-06-07,883,877.0108282235201,0.2851986560228527,0.9443410668179028
2013-06-10,884,877.1022698298731,0.32846334143461525,0.903226718499778
2013-06-11,885,877.0089341681843,0.38052694437217705,0.8872267995512432
2013-06-12,886,877.0125376272157,0.42797439870401466,0.8314718973874251
2013-06-13,887,877.026533310891,0.47492698519566884,0.8788162467010926
2013-06-14,888,877.0083265808161,0.52341301996114,0.9000095223587395
2013-06-17,889,877.3090338845664,0.5567126721635066,0.8877221282047028
2013-06-18,890,877.0028581541203,0.6189115164704617,0.8695461504835095
2013-06-19,891,874.7756060194334,0.7725901895507886,0.9567836759881778
2013-06-20,892,878.4668562909696,0.6444354147157312,0.9568332777801389
2013-06-21,893,875.8537689487779,0.8164871929153389,0.9085332249589413
2013-06-24,894,886.0271930309203,0.37965747471807954,0.7441429385511463
2013-06-25,895,886.284743431385,0.4150122175530961,0.6991405588536888
2013-06-26,896,886.0067213939333,0.4758704098127011,0.6688595575674541
2013-06-27,897,884.0292071663997,0.6176568016000136,0.6440677899936242
2013-06-28,898,888.6223681744161,0.44655389645637505,0.6638146199845592
2013-07-01,899,888.5407256384707,0.4980606838823481,0.6308603492244351
2013-07-02,900,888.6368624826692,0.5411017865395598,0.6178702007196006
2013-07-03,901,888.0268672125103,0.6177682279757002,0.6050445834992281
2013-07-05,902,888.5989480914931,0.6381453289765204,0.6330244939215506
2013-07-08,903,896.4483044934833,0.31198550031031874,0.9101420030836207
2013-07-09,904,894.9809865476376,0.4294768310648762,0.9682580694543507
2013-07-10,905,901.4020748575144,0.1713297686897888,0.8786922934777298
2013-07-11,906,894.9925047727643,0.5241664393921772,0.9786849268085445
2013-07-12,907,894.1527200639758,0.6117752350487697,0.9832617828930548
2013-07-15,908,894.0083291001674,0.66627004284917,0.9917300615655344
2013-07-16,909,895.518070347292,0.6419966501289526,0.9741829186794051
2013-07-17,910,895.5405175736682,0.6885467822062743,0.9880482524326338
2013-07-18,911,895.1498615586983,0.7547684972048446,0.9946231606804623
